organism,is_pig_assoc,acc,bioproject,count,broad_cat,mbases,host,project_name
bovine gut metagenome,1,SRR21118932,PRJNA869873,8,other,16776,"[""dairy cattle""]",
bovine gut metagenome,1,ERR3224578,PRJEB31266,8,other,31757,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
Equus asinus,1,SRR28806313,PRJNA1103961,14,other,12938,,
Equus asinus,1,SRR28806304,PRJNA1103961,9,other,13935,,
bovine gut metagenome,1,ERR3801449,PRJEB33080,10,other,14195,,
bovine metagenome,1,SRR22560182,PRJNA909573,10,other,12494,"[""bovine""]",
mouse gut metagenome,0,SRR13741608,PRJNA600179,12,other,14043,"[""Mus musculus""]",
sheep gut metagenome,1,SRR9006655,PRJNA539637,15,other,71015,"[""Ovis aries""]",
bovine gut metagenome,1,ERR3201400,PRJEB31266,13,other,27818,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3220209,PRJEB31266,9,other,19466,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3275101,PRJEB31266,12,other,40003,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR5371383,PRJNA356291,15,other,11587,"[""Bos taurus""]",
Equus asinus,1,SRR20707901,PRJNA860652,10,other,13488,,
mouse gut metagenome,0,SRR12398546,PRJNA655594,15,other,55754,"[""C57BL/6J""]",
bovine gut metagenome,1,SRR31127810,PRJNA1153624,8,other,25815,"[""bovine""]",
bovine gut metagenome,1,ERR3224604,PRJEB31266,12,other,29162,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
Equus asinus asinus,1,ERR10048380,PRJEB52849,15,other,105251,,
bovine gut metagenome,1,ERR3201417,PRJEB31266,13,other,30827,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,SRR3053208,PRJNA292471,9,other,2206,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3801490,PRJEB33080,9,other,19954,,
bovine metagenome,1,SRR24963407,PRJNA984925,8,other,10596,"[""Bos taurus""]",
bovine metagenome,1,SRR22560191,PRJNA909573,8,other,12538,"[""bovine""]",
bovine gut metagenome,1,SRR5371441,PRJNA356291,15,other,39540,"[""Bos taurus""]",
bovine gut metagenome,1,SRR5371437,PRJNA356291,15,other,20161,"[""Bos taurus""]",
Equus asinus asinus,1,ERR10048409,PRJEB52849,13,other,113060,,
bovine gut metagenome,1,SRR5371457,PRJNA356291,15,other,26531,"[""Bos taurus""]",
